# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
namebabyandme	Baby and Me (Europe) (En,Fr,De,Es,It)
namebabysittermama	Babysitter Mama (Japan)
namebabysittingmama	Babysitting Mama (USA)
namebabysittingparty	Babysitting Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)
namebachelorthethevideogame	Bachelor, The - The Videogame (USA) (En,Fr,Es)
namebacktothefuturethegame	Back to the Future - The Game (Europe) (En,Fr,De)
namebackyardbaseball09	Backyard Baseball '09 (USA)
namebackyardbaseball10	Backyard Baseball '10 (USA)
namebackyardfootball	Backyard Football (USA)
namebackyardfootball09	Backyard Football '09 (USA)
namebackyardfootball10	Backyard Football '10 (USA)
namebackyardsportsrookierush	Backyard Sports - Rookie Rush (USA)
namebackyardsportssandlotsluggers	Backyard Sports - Sandlot Sluggers (USA)
namebakuganbattlebrawlers	Bakugan - Battle Brawlers (Europe) (En,Fr,De,Es,It,Nl,Sv)
namebakugandefendersofthecore	Bakugan - Defenders of the Core (Europe, Australia) (En,Fr,De,Es,It,Nl,Sv)
nameballoonpop	Balloon Pop (USA)
nameballsoffury	Balls of Fury (Europe) (En,Fr,De,Es,It)
namebandhero	Band Hero (Europe) (En,Fr,De,Es,It)
namebaramuiklonoadoortophantomile	Baramui Klonoa - Door to Phantomile (Korea)
namebarbieandthethreemusketeers	Barbie and the Three Musketeers (Europe) (En,Fr,De,Es,It,Nl)
namebarbieastheislandprincess	Barbie as the Island Princess (Europe) (En,Fr,De,Es,It,Nl)
namebarbiedreamhouseparty	Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
namebarbiegroomandglampups	Barbie - Groom and Glam Pups (Brazil) (En,Es,Pt)
namebarbiehersisterspuppyrescue	Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De,Es,It)
namebarbiehorseadventuresridingcamp	Barbie Horse Adventures - Riding Camp (Europe) (En,Fr,De,Es,It,Nl)
namebarbiejetsetstyle	Barbie - Jet, Set & Style! (Australia) (En,Fr,Es) (S3EX)
namebarnyardshuyakuwaoreushi	Barnyard - Shuyaku wa Ore, Ushi (Japan)
namebaroque	Baroque (UK)
